snr_db,crc_rate_ls,crc_rate_mmse,trials,frames_attempted_ls,frames_ok_ls,frames_attempted_mmse,frames_ok_mmse
8.0,0.0,0.0,4,2,0,2,0
10.0,0.0,0.0,4,1,0,1,0
12.0,0.5,0.5,4,2,1,2,1
14.0,0.5,0.5,4,2,1,2,1
16.0,0.3333333333333333,0.3333333333333333,4,3,1,3,1
18.0,0.0,0.0,4,1,0,1,0
