snr_db,crc_rate_ls,crc_rate_mmse,trials,frames_attempted_ls,frames_ok_ls,frames_attempted_mmse,frames_ok_mmse
8.0,0.0,0.0,4,2,0,2,0
10.0,1.0,1.0,4,4,4,4,4
12.0,1.0,1.0,4,4,4,4,4
14.0,1.0,1.0,4,4,4,4,4
16.0,1.0,1.0,4,4,4,4,4
18.0,1.0,1.0,4,4,4,4,4
